set_num,name,year,lego_info,value
00-1,Weetabix Castle,1970,theme_id,414
00-1,Weetabix Castle,1970,num_parts,471
00-2,Weetabix Promotional House 1,1976,num_parts,147
00-2,Weetabix Promotional House 1,1976,theme_id,413
00-3,Weetabix Promotional House 2,1976,num_parts,149
00-3,Weetabix Promotional House 2,1976,theme_id,413
00-4,Weetabix Promotional Windmill,1976,num_parts,126
00-4,Weetabix Promotional Windmill,1976,theme_id,413
00-6,Special Offer,1985,num_parts,3
00-6,Special Offer,1985,theme_id,67
00-7,Weetabix Promotional Lego Village,1976,num_parts,3
00-7,Weetabix Promotional Lego Village,1976,theme_id,413
0011-2,Town Mini-Figures,1978,theme_id,84
0011-2,Town Mini-Figures,1978,num_parts,12
0011-3,Castle 2 for 1 Bonus Offer,1987,theme_id,199
0011-3,Castle 2 for 1 Bonus Offer,1987,num_parts,2
0012-1,Space Mini-Figures,1979,num_parts,12
0012-1,Space Mini-Figures,1979,theme_id,143
0013-1,Space Mini-Figures,1979,num_parts,12
0013-1,Space Mini-Figures,1979,theme_id,143
0014-1,Space Mini-Figures,1979,theme_id,143
0014-1,Space Mini-Figures,1979,num_parts,12
0015-1,Space Mini-Figures,1979,theme_id,143
0015-1,Space Mini-Figures,1979,num_parts,18
0016-1,Castle Mini Figures,1978,num_parts,15
0016-1,Castle Mini Figures,1978,theme_id,186
005-1,Basic Building Set in Cardboard,1965,num_parts,35
005-1,Basic Building Set in Cardboard,1965,theme_id,366
010-1,Basic Building Set in Cardboard,1965,theme_id,366
010-1,Basic Building Set in Cardboard,1965,num_parts,57
010-3,Basic Building Set,1968,num_parts,77
010-3,Basic Building Set,1968,theme_id,366
011-1,Basic Building Set,1968,num_parts,145
011-1,Basic Building Set,1968,theme_id,366
022-1,Basic Building Set,1968,num_parts,110
022-1,Basic Building Set,1968,theme_id,366
03093-1,The Race to Build It Board Game,1999,num_parts,70
03093-1,The Race to Build It Board Game,1999,theme_id,502
033-2,Basic Building Set,1968,theme_id,366
033-2,Basic Building Set,1968,num_parts,177
044-1,Basic Building Set,1968,theme_id,366
044-1,Basic Building Set,1968,num_parts,225
055-2,Basic Building Set,1968,theme_id,366
055-2,Basic Building Set,1968,num_parts,256
066-1,Basic Building Set,1968,num_parts,407
066-1,Basic Building Set,1968,theme_id,366
080-1,Basic Building Set with Train,1967,theme_id,366
080-1,Basic Building Set with Train,1967,num_parts,710
088-1,Super Set,1969,theme_id,469
088-1,Super Set,1969,num_parts,615
10-Jan,Mini-Wheel Model Maker No. 1,1971,num_parts,86
10-Jan,Mini-Wheel Model Maker No. 1,1971,theme_id,423
11-Jan,Basic Souvenir Box,1981,theme_id,469
11-Jan,Basic Souvenir Box,1981,num_parts,36
07-Jan,Basic Set,1973,num_parts,107
07-Jan,Basic Set,1973,theme_id,469
08-Jan,Little House Set,1970,num_parts,67
08-Jan,Little House Set,1970,theme_id,433
02-Oct,Universal Building Set,1976,theme_id,469
02-Oct,Universal Building Set,1976,num_parts,129
03-Oct,Locomotive Wheels,1977,num_parts,8
03-Oct,Locomotive Wheels,1977,theme_id,456
100-1,4.5V Motor with Wheels (Small Version),1966,theme_id,243
100-1,4.5V Motor with Wheels (Small Version),1966,num_parts,16
100-2,4.5V Motor with Wheels (Large Version),1966,num_parts,27
100-2,4.5V Motor with Wheels (Large Version),1966,theme_id,243
10000-1,Guarded Inn,2001,num_parts,256
10000-1,Guarded Inn,2001,theme_id,186
10001-1,Metroliner,2001,num_parts,785
10001-1,Metroliner,2001,theme_id,233
10002-1,Railroad Club Car,2001,num_parts,272
10002-1,Railroad Club Car,2001,theme_id,233
10003-1,1 x 2 Sand Red Bricks,2001,theme_id,254
10003-1,1 x 2 Sand Red Bricks,2001,num_parts,100
10004-1,2 x 2 Sand Red Bricks,2001,theme_id,254
10004-1,2 x 2 Sand Red Bricks,2001,num_parts,100
10005-1,2 x 4 Sand Red Bricks,2001,theme_id,254
10005-1,2 x 4 Sand Red Bricks,2001,num_parts,50
10006-1,1 x 6 Sand Red Bricks,2001,num_parts,50
10006-1,1 x 6 Sand Red Bricks,2001,theme_id,254
10007-1,2 x 4 Sand Red Ridge Roof Tiles Steep Slope,2001,theme_id,254
10007-1,2 x 4 Sand Red Ridge Roof Tiles Steep Slope,2001,num_parts,25
10008-1,2 x 4 Roof Tile Sand Red,2001,theme_id,254
10008-1,2 x 4 Roof Tile Sand Red,2001,num_parts,50
10009-1,Assorted Blue Bricks,2001,theme_id,254
10009-1,Assorted Blue Bricks,2001,num_parts,62
10010-1,Assorted Yellow Bricks,2003,num_parts,63
10010-1,Assorted Yellow Bricks,2003,theme_id,254
10011-1,Assorted Blue Plates,2001,num_parts,42
10011-1,Assorted Blue Plates,2001,theme_id,254
10012-1,Assorted Yellow Plates,2001,num_parts,42
10012-1,Assorted Yellow Plates,2001,theme_id,254
10013-1,Open Freight Wagon,2001,num_parts,121
10013-1,Open Freight Wagon,2001,theme_id,238
10014-1,Caboose,2001,num_parts,170
10014-1,Caboose,2001,theme_id,238
10015-1,Passenger Wagon,2001,num_parts,194
10015-1,Passenger Wagon,2001,theme_id,238
10016-1,Tanker,2001,num_parts,128
10016-1,Tanker,2001,theme_id,238
10017-1,Hopper Wagon,2001,num_parts,228
10017-1,Hopper Wagon,2001,theme_id,238
10018-1,Darth Maul,2001,num_parts,1868
10018-1,Darth Maul,2001,theme_id,158
10019-1,Rebel Blockade Runner - UCS,2001,theme_id,174
10019-1,Rebel Blockade Runner - UCS,2001,num_parts,1747
10020-1,"Santa Fe Super Chief, NOT the Limited Edition",2002,theme_id,236
